"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"2636","Carex phaeocephala","Carex phaeocephala"
"2637","Polemonium pulcherrimum","Polemonium pulcherrimum"
"2638","Antennaria media","Antennaria media"
"2639","Trifolium nanum","Trifolium nanum"
"2640","Pedicularis bracteosa","Pedicularis bracteosa"
"2641","Poa reflexa","Poa reflexa"
"2642","Erigeron eximius","Erigeron eximius"
"2643","Erigeron eximius/Erigeron","Erigeron eximius/Erigeron"
"2644","Lewisia pygmaea","Lewisia pygmaea"
"2645","Pedicularis groenlandica","Pedicularis groenlandica"
"2646","Arnica mollis","Arnica mollis"
"2647","Carex scopulorum","Carex scopulorum"
"2648","Elymus scribneri","Elymus scribneri"
"2649","Polemonium viscosum","Polemonium viscosum"
"2650","Poa cusickii","Poa cusickii"
"2651","Saxifraga bronchialis","Saxifraga bronchialis"
"2652","Potentilla nivea","Potentilla nivea"
"2653","Carex elynoides/Kobresia","Carex elynoides/Kobresia"
"2654","Dryas octopetala","Dryas octopetala"
"2655","Carex scoparia","Carex scoparia"
"2656","Poa alpina/arctica","Poa alpina/arctica"
"2657","Poa glauca","Poa glauca"
"2658","Potentilla uniflora","Potentilla uniflora"
"2659","Draba aurea","Draba aurea"
"2660","Potentilla rubricaulis","Potentilla rubricaulis"
"2661","Pseudocymopterus montanus","Pseudocymopterus montanus"
"2662","Osmorhiza depauperata","Osmorhiza depauperata"
"2663","Lupinus argenteus","Lupinus argenteus"
"2664","Penstemon glaber","Penstemon glaber"
"2665","Aquilegia coerulea","Aquilegia coerulea"
"2666","Poa tracyi","Poa tracyi"
"2667","Mentzelia laciniata","Mentzelia laciniata"
"2668","Phleum alpinum","Phleum alpinum"
"2669","Agrostis mertensii","Agrostis mertensii"
"2670","Poa leptocoma","Poa leptocoma"
"2671","Saxifraga rhomboidea","Saxifraga rhomboidea"
"2672","Carex ebenea","Carex ebenea"
"2673","Draba breweri","Draba breweri"
"2674","Arabis fendleri","Arabis fendleri"
"2675","Senecio crassulus","Senecio crassulus"
"2676","Agoseris aurantiaca","Agoseris aurantiaca"
"2677","Rhodiola integrifolia","Rhodiola integrifolia"
"2678","Gentiana algida","Gentiana algida"
"2679","Saxifraga flagellaris","Saxifraga flagellaris"
"2680","Poa wheeleri","Poa wheeleri"
"2681","Sibbaldia procumbens","Sibbaldia procumbens"
"2682","Veronica wormskjoldii","Veronica wormskjoldii"
"2683","Corallorhiza maculata","Corallorhiza maculata"
"2684","Potentilla pulcherrima","Potentilla pulcherrima"
"2685","Viola adunca","Viola adunca"
"2686","Angelica grayi","Angelica grayi"
"2687","Caltha leptosepala","Caltha leptosepala"
"2688","Thalictrum fendleri","Thalictrum fendleri"
"2689","Caltha leptosepala","Caltha leptosepala"
"2690","Oxypolis fendleri","Oxypolis fendleri"
"2691","Ligusticum filicinum","Ligusticum filicinum"
"2692","Trollius laxus","Trollius laxus"
"2693","Bromus ciliatus","Bromus ciliatus"
"2694","Packera fendleri","Packera fendleri"
"2695","Potentilla fissa","Potentilla fissa"
"2696","Potentilla effusa","Potentilla effusa"
"2697","Carex nova","Carex nova"
"2698","Erigeron pinnatisectus","Erigeron pinnatisectus"
"2699","Hierochloe hirta","Hierochloe hirta"
"2700","Carex heteroneura","Carex heteroneura"
"2701","Mertensia ciliata","Mertensia ciliata"
"2702","Allionia incarnata","Allionia incarnata"
"2703","Cirsium scopulorum","Cirsium scopulorum"
"2704","Gentiana parryi","Gentiana parryi"
"2705","Silene drummondii","Silene drummondii"
"2706","Agoseris glauca","Agoseris glauca"
"2707","Chimaphila umbellata","Chimaphila umbellata"
"2708","Crepis nana","Crepis nana"
"2709","Alisma gramineum","Alisma gramineum"
"2710","Arenaria fendleri","Arenaria fendleri"
"2711","Silene acaulis","Silene acaulis"
"2712","Tetraneuris acaulis","Tetraneuris acaulis"
"2713","Tetraneuris acaulis","Tetraneuris acaulis"
"2714","Luzula multiflora","Luzula multiflora"
"2715","Juncus biglumis","Juncus biglumis"
"2716","Carex pachystachya","Carex pachystachya"
"2717","Festuca rubra","Festuca rubra"
"2718","Festuca minutiflora","Festuca minutiflora"
"2719","Anemone multifida","Anemone multifida"
"2720","Valeriana edulis","Valeriana edulis"
"2721","Potentilla pensylvanica","Potentilla pensylvanica"
"2722","Erigeron canus","Erigeron canus"
"2723","Draba grayana","Draba grayana"
"2724","Draba crassifolia","Draba crassifolia"
"2725","Physocarpus monogynus","Physocarpus monogynus"
"2726","Epilobium leptocarpum","Epilobium leptocarpum"
"2727","Agrostis humilis","Agrostis humilis"
"2728","Veronica wormskjoldii","Veronica wormskjoldii"
"2729","Antennaria rosea","Antennaria rosea"
"2730","Sedum debile","Sedum debile"
"2731","Cryptogramma acrostichoides","Cryptogramma acrostichoides"
"2732","Erigeron melanocephalus","Erigeron melanocephalus"
"2733","Poa bigelovii","Poa bigelovii"
"2734","Atriplex confertifolia","Atriplex confertifolia"
"2735","Alyssum desertorum","Alyssum desertorum"
"2736","Elymus lanceolatus","Elymus lanceolatus"
"2737","Cymopterus purpurascens","Cymopterus purpurascens"
"2738","Arabis holboellii","Arabis holboellii"
"2739","Crepis acuminata","Crepis acuminata"
"2740","Lepidium perfoliatum","Lepidium perfoliatum"
"2741","Malcolmia africana","Malcolmia africana"
"2742","Tetradymia canescens","Tetradymia canescens"
"2743","Tetradymia glabrata","Tetradymia glabrata"
"2744","Chaenactis douglasii","Chaenactis douglasii"
"2745","Poa bulbosa","Poa bulbosa"
"2746","Erigeron divergens","Erigeron divergens"
"2747","Allium nevadense","Allium nevadense"
"2748","Cardaria draba","Cardaria draba"
"2749","Sphaeralcea munroana","Sphaeralcea munroana"
"2750","Sphaeralcea grossulariifolia","Sphaeralcea grossulariifolia"
"2751","Artemisia nova","Artemisia nova"
"2752","Lathyrus brachycalyx","Lathyrus brachycalyx"
"2753","Linanthus pungens","Linanthus pungens"
"2754","Alyssum alyssoides","Alyssum alyssoides"
"2755","Castilleja angustifolia","Castilleja angustifolia"
"2756","Linum perenne","Linum perenne"
"2757","Sanguisorba minor","Sanguisorba minor"
"2758","Onobrychis viciifolia","Onobrychis viciifolia"
"2759","Ipomopsis aggregata","Ipomopsis aggregata"
"2760","Cryptantha humilis","Cryptantha humilis"
"2761","Lewisia rediviva","Lewisia rediviva"
"2762","Sarcobatus vermiculatus","Sarcobatus vermiculatus"
"2763","Collinsia parviflora","Collinsia parviflora"
"2764","Zigadenus paniculatus","Zigadenus paniculatus"
"2765","Collomia linearis","Collomia linearis"
"2766","Collomia tenella","Collomia tenella"
"2767","Eriogonum microthecum","Eriogonum microthecum"
"2768","Crepis occidentalis","Crepis occidentalis"
"2769","Halogeton glomeratus","Halogeton glomeratus"
"2770","Ericameria nauseosa","Ericameria nauseosa"
"2771","Allium acuminatum","Allium acuminatum"
"2772","Perityle stansburyi","Perityle stansburyi"
"2773","Crepis intermedia","Crepis intermedia"
"2774","Cryptantha flavoculata","Cryptantha flavoculata"
"2775","Balsamorhiza sagittata","Balsamorhiza sagittata"
"2776","Atriplex argentea","Atriplex argentea"
"2777","Bromus hordeaceus","Bromus hordeaceus"
"2778","Vicia americana","Vicia americana"
"2779","Gilia sinuata","Gilia sinuata"
"2780","Symphoricarpos oreophilus","Symphoricarpos oreophilus"
"2781","Chrysothamnus viscidiflorus","Chrysothamnus viscidiflorus"
"2782","Veronica biloba","Veronica biloba"
"2783","Erigeron concinnus","Erigeron concinnus"
"2784","Bassia americana","Bassia americana"
"2785","Phoenicaulis cheiranthoides","Phoenicaulis cheiranthoides"
"2786","Penstemon palmeri","Penstemon palmeri"
"2787","Eriogonum racemosum","Eriogonum racemosum"
"2788","Eriogonum umbellatum","Eriogonum umbellatum"
"2789","Hackelia floribunda","Hackelia floribunda"
"2790","Stenotus acaulis","Stenotus acaulis"
"2791","Castilleja linariifolia","Castilleja linariifolia"
"2792","Epilobium brachycarpum","Epilobium brachycarpum"
"2793","Hackelia patens","Hackelia patens"
"2794","Camelina microcarpa","Camelina microcarpa"
"2795","Melica bulbosa","Melica bulbosa"
"2796","Elymus elymoides","Elymus elymoides"
"2797","Hexastylis arifolia","Hexastylis arifolia"
"2798","Rhododendron periclymenoides","Rhododendron periclymenoides"
"2799","Campanula divaricata","Campanula divaricata"
"2800","Houstonia caerulea","Houstonia caerulea"
"2801","Scutellaria elliptica","Scutellaria elliptica"
"2802","Aureolaria virginica","Aureolaria virginica"
"2803","Lysimachia lanceolata","Lysimachia lanceolata"
"2804","Brachymenium erectum","Brachymenium erectum"
"2805","Sanguinaria canadensis","Sanguinaria canadensis"
"2806","Vinca minor","Vinca minor"
"2807","Panicum flexile","Panicum flexile"
"2808","Hieracium venosum","Hieracium venosum"
"2809","Cunila origanoides","Cunila origanoides"
"2810","Doellingeria infirma","Doellingeria infirma"
"2811","Aureolaria flava","Aureolaria flava"
"2812","Linum virginianum","Linum virginianum"
"2813","Viola rotundifolia","Viola rotundifolia"
"2814","Phoradendron leucarpum","Phoradendron leucarpum"
"2815","Carya laciniosa","Carya laciniosa"
"2816","Helianthus decapetalus","Helianthus decapetalus"
"2817","Hypericum hypericoides","Hypericum hypericoides"
"2818","Smallanthus uvedalius","Smallanthus uvedalius"
"2819","Pseudognaphalium obtusifolium","Pseudognaphalium obtusifolium"
"2820","Bromus racemosus","Bromus racemosus"
"2821","Nandina domestica","Nandina domestica"
"2822","Triosteum angustifolium","Triosteum angustifolium"
"2823","Smilax hugeri","Smilax hugeri"
"2824","Packera anonyma","Packera anonyma"
"2825","Cuscuta gronovii","Cuscuta gronovii"
"2826","Cardamine parviflora","Cardamine parviflora"
"2827","Lamium purpureum","Lamium purpureum"
"2828","Veronicastrum virginicum","Veronicastrum virginicum"
"2829","Astilbe biternata","Astilbe biternata"
"2830","Pyrus communis","Pyrus communis"
"2831","Pueraria montana","Pueraria montana"
"2832","Securigera varia","Securigera varia"
"2833","Mosla dianthera","Mosla dianthera"
"2834","Acalypha ostryifolia","Acalypha ostryifolia"
"2835","Ranunculus parviflorus","Ranunculus parviflorus"
"2836","Arctium minus","Arctium minus"
"2837","Valerianella radiata","Valerianella radiata"
"2838","Triticum aestivum","Triticum aestivum"
"2839","Gordonia lasianthus","Gordonia lasianthus"
"2840","Tillandsia bartramii","Tillandsia bartramii"
"2841","Lyonia lucida","Lyonia lucida"
"2842","Ilex coriacea","Ilex coriacea"
"2843","Lyonia ferruginea","Lyonia ferruginea"
"2844","Osmanthus americanus","Osmanthus americanus"
"2845","Aeschynomene viscidula","Aeschynomene viscidula"
"2846","Astranthium integrifolium","Astranthium integrifolium"
"2847","Chapmannia floridana","Chapmannia floridana"
"2848","Eryngium aromaticum","Eryngium aromaticum"
"2849","Hieracium megacephalon","Hieracium megacephalon"
"2850","Arnoglossum floridanum","Arnoglossum floridanum"
"2851","Carphephorus corymbosus","Carphephorus corymbosus"
"2852","Schizachyrium scoparium","Schizachyrium scoparium"
"2853","Stipulicida setacea","Stipulicida setacea"
"2854","Stenotaphrum secundatum","Stenotaphrum secundatum"
"2855","Aristida condensata","Aristida condensata"
"2856","Cyperus planifolius","Cyperus planifolius"
"2857","Ruellia caroliniensis","Ruellia caroliniensis"
"2858","Andropogon ternarius","Andropogon ternarius"
"2859","Eragrostis pectinacea","Eragrostis pectinacea"
"2860","Sabal etonia","Sabal etonia"
"2861","Dichanthelium ovale","Dichanthelium ovale"
"2862","Cladium mariscus","Cladium mariscus"
"2863","Chionanthus ligustrinus","Chionanthus ligustrinus"
"2864","Rhexia virginica","Rhexia virginica"
"2865","Microseris nutans","Microseris nutans"
"2866","Callisia rosea","Callisia rosea"
"2867","Sabal palmetto","Sabal palmetto"
"2868","Berlandiera subacaulis","Berlandiera subacaulis"
"2869","Solidago sempervirens","Solidago sempervirens"
"2870","Polanisia tenuifolia","Polanisia tenuifolia"
"2871","Anulocaulis leiosolenus","Anulocaulis leiosolenus"
"2872","Croton argenteus","Croton argenteus"
"2873","Phoebanthus grandiflorus","Phoebanthus grandiflorus"
"2874","Bacopa caroliniana","Bacopa caroliniana"
"2875","Vitex rotundifolia","Vitex rotundifolia"
"2876","Tephrosia chrysophylla","Tephrosia chrysophylla"
"2877","Quercus ×neopalmeri","Quercus ×neopalmeri"
"2878","Smilax ecirrhata","Smilax ecirrhata"
"2879","Solidago odora","Solidago odora"
"2880","Eryngium aquaticum","Eryngium aquaticum"
"2881","Aristida floridana","Aristida floridana"
"2882","Aristida purpurascens","Aristida purpurascens"
"2883","Stylisma patens","Stylisma patens"
"2884","Piriqueta cistoides","Piriqueta cistoides"
"2885","Ilex myrtifolia","Ilex myrtifolia"
"2886","Andropogon glaucopsis","Andropogon glaucopsis"
"2887","Polygonella polygama","Polygonella polygama"
"2888","Lycopodiella prostrata","Lycopodiella prostrata"
"2889","Cryptantha pusilla","Cryptantha pusilla"
"2890","Andropogon glomeratus","Andropogon glomeratus"
"2891","Balduina angustifolia","Balduina angustifolia"
"2892","Pectis papposa","Pectis papposa"
"2893","Aristida mohrii","Aristida mohrii"
"2894","Aristida gyrans","Aristida gyrans"
"2895","Quercus chapmanii","Quercus chapmanii"
"2896","Selaginella viridissima","Selaginella viridissima"
"2897","Streptanthus carinatus","Streptanthus carinatus"
"2898","Andropogon brachystachyus","Andropogon brachystachyus"
"2899","Quercus imbricaria","Quercus imbricaria"
"2900","Evolvulus sericeus","Evolvulus sericeus"
"2901","Physalis arenicola","Physalis arenicola"
"2902","Aristida palustris","Aristida palustris"
"2903","Digitaria longiflora","Digitaria longiflora"
"2904","Asclepias tomentosa","Asclepias tomentosa"
"2905","Dalea pinnata","Dalea pinnata"
"2906","Carex bromoides","Carex bromoides"
"2907","Ludwigia peruviana","Ludwigia peruviana"
"2908","Peltandra virginica","Peltandra virginica"
"2909","Decodon verticillatus","Decodon verticillatus"
"2910","Pontederia cordata","Pontederia cordata"
"2911","Acourtia runcinata","Acourtia runcinata"
"2912","Delphinium carolinianum","Delphinium carolinianum"
"2913","Cayaponia americana","Cayaponia americana"
"2914","Habenaria repens","Habenaria repens"
"2915","Centella erecta","Centella erecta"
"2916","Tibouchina urvilleana","Tibouchina urvilleana"
"2917","Pleopeltis polypodioides","Pleopeltis polypodioides"
"2918","Hypoxis curtissii","Hypoxis curtissii"
"2919","Bejaria racemosa","Bejaria racemosa"
"2920","Phlox maculata","Phlox maculata"
"2921","Amphicarpum muehlenbergianum","Amphicarpum muehlenbergianum"
"2922","Paronychia americana","Paronychia americana"
"2923","Drosera capillaris","Drosera capillaris"
"2924","Polygala rugelii","Polygala rugelii"
"2925","Rhexia nuttallii","Rhexia nuttallii"
"2926","Syngonanthus flavidulus","Syngonanthus flavidulus"
"2927","Xyris caroliniana","Xyris caroliniana"
"2928","Conyza canadensis","Conyza canadensis"
"2929","Crotalaria lanceolata","Crotalaria lanceolata"
"2930","Lachnocaulon anceps","Lachnocaulon anceps"
"2931","Centella asiatica","Centella asiatica"
"2932","Xyris smalliana","Xyris smalliana"
"2933","Fimbristylis dichotoma","Fimbristylis dichotoma"
"2934","Phialanthus grandifolius","Phialanthus grandifolius"
"2935","Capparis incana","Capparis incana"
"2936","Tradescantia roseolens","Tradescantia roseolens"
"2937","Cryptantha flaccida","Cryptantha flaccida"
"2938","Sporobolus compositus","Sporobolus compositus"
"2939","Cyperus lecontei","Cyperus lecontei"
"2940","Vaccinium fuscatum","Vaccinium fuscatum"
"2941","Pinus remota","Pinus remota"
"2942","Limnophila ×ludoviciana","Limnophila ×ludoviciana"
"2943","Xyris drummondii","Xyris drummondii"
"2944","Ceanothus connivens","Ceanothus connivens"
"2945","Nymphaea odorata","Nymphaea odorata"
"2946","Hypericum tetrapetalum","Hypericum tetrapetalum"
"2947","Euphorbia brachycera","Euphorbia brachycera"
"2948","Hypochaeris brasiliensis","Hypochaeris brasiliensis"
"2949","Lachnocaulon minus","Lachnocaulon minus"
"2950","Hypericum fasciculatum","Hypericum fasciculatum"
"2951","Pluchea rosea","Pluchea rosea"
"2952","Ludwigia leptocarpa","Ludwigia leptocarpa"
"2953","Ludwigia virgata","Ludwigia virgata"
"2954","Linum carteri","Linum carteri"
"2955","Hypericum tenuifolium","Hypericum tenuifolium"
"2956","Aureolaria flava","Aureolaria flava"
"2957","Ludwigia suffruticosa","Ludwigia suffruticosa"
"2958","Asimina obovata","Asimina obovata"
"2959","Rhabdadenia biflora","Rhabdadenia biflora"
"2960","Cladium mariscoides","Cladium mariscoides"
"2961","Calochortus greenei","Calochortus greenei"
"2962","Callisia ornata","Callisia ornata"
"2963","Liatris tenuifolia","Liatris tenuifolia"
"2964","Polygonella gracilis","Polygonella gracilis"
"2965","Cyperus difformis","Cyperus difformis"
"2966","Triplasis americana","Triplasis americana"
"2967","Crataegus ×puberis","Crataegus ×puberis"
"2968","Stachys palustris","Stachys palustris"
"2969","Triantha racemosa","Triantha racemosa"
"2970","Chamaesyce florida","Chamaesyce florida"
"2971","Paronychia patula","Paronychia patula"
"2972","Centaurea eriophora","Centaurea eriophora"
"2973","Pentagramma pallida","Pentagramma pallida"
"2974","Vicia floridana","Vicia floridana"
"2975","Dicoria canescens","Dicoria canescens"
"2976","Argythamnia serrata","Argythamnia serrata"
"2977","Pseudocrossidium obtusulum","Pseudocrossidium obtusulum"
"2978","Xyris baldwiniana","Xyris baldwiniana"
"2979","Fuirena scirpoidea","Fuirena scirpoidea"
"2980","Pluchea foetida","Pluchea foetida"
"2981","Brasenia schreberi","Brasenia schreberi"
"2982","Eriocaulon compressum","Eriocaulon compressum"
"2983","Mayaca fluviatilis","Mayaca fluviatilis"
"2984","Leersia hexandra","Leersia hexandra"
"2985","Xyris brevifolia","Xyris brevifolia"
"2986","Ludwigia maritima","Ludwigia maritima"
"2987","Fuirena longa","Fuirena longa"
"2988","Ludwigia repens","Ludwigia repens"
"2989","Ludwigia arcuata","Ludwigia arcuata"
"2990","Polygala cymosa","Polygala cymosa"
"2991","Ludwigia microcarpa","Ludwigia microcarpa"
"2992","Amianthium muscitoxicum","Amianthium muscitoxicum"
