"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"441","Ranunculus recurvatus","Ranunculus recurvatus"
"442","Quercus alba","Quercus alba"
"443","Carpinus caroliniana","Carpinus caroliniana"
"444","Rubus allegheniensis","Rubus allegheniensis"
"445","Dichanthelium acuminatum","Dichanthelium acuminatum"
"446","Chondrilla juncea","Chondrilla juncea"
"447","Trifolium arvense","Trifolium arvense"
"448","Silene vulgaris","Silene vulgaris"
"449","Botrychium virginianum","Botrychium virginianum"
"450","Cirsium discolor","Cirsium discolor"
"451","Chimaphila maculata","Chimaphila maculata"
"452","Miscanthus sinensis","Miscanthus sinensis"
"453","Cercis canadensis","Cercis canadensis"
"454","Sinapis alba","Sinapis alba"
"455","Cynoglossum virginianum","Cynoglossum virginianum"
"456","Polygonatum biflorum","Polygonatum biflorum"
"457","Cardamine concatenata","Cardamine concatenata"
"458","Prenanthes altissima","Prenanthes altissima"
"459","Campanulastrum americanum","Campanulastrum americanum"
"460","Artemisia annua","Artemisia annua"
"461","Carex digitalis","Carex digitalis"
"462","Galium circaezans","Galium circaezans"
"463","Phryma leptostachya","Phryma leptostachya"
"464","Carya ovalis","Carya ovalis"
"465","Ophioglossum vulgatum","Ophioglossum vulgatum"
"466","Cruciata pedemontana","Cruciata pedemontana"
"467","Carya tomentosa","Carya tomentosa"
"468","Carex aggregata","Carex aggregata"
"469","Juniperus virginiana","Juniperus virginiana"
"470","Carex tribuloides","Carex tribuloides"
"471","Osmorhiza longistylis","Osmorhiza longistylis"
"472","Lysimachia ciliata","Lysimachia ciliata"
"473","Poa sylvestris","Poa sylvestris"
"474","Elymus riparius","Elymus riparius"
"475","Euonymus americanus","Euonymus americanus"
"476","Polystichum acrostichoides","Polystichum acrostichoides"
"477","Poa pratensis","Poa pratensis"
"478","Phytolacca americana","Phytolacca americana"
"479","Eurybia divaricata","Eurybia divaricata"
"480","Viola triloba","Viola triloba"
"481","Chaiturus marrubiastrum","Chaiturus marrubiastrum"
"482","Datura stramonium","Datura stramonium"
"483","Panicum dichotomiflorum","Panicum dichotomiflorum"
"484","Panicum gattingeri","Panicum gattingeri"
"485","Veronica persica","Veronica persica"
"486","Mimulus ringens","Mimulus ringens"
"487","Sisyrinchium angustifolium","Sisyrinchium angustifolium"
"488","Conoclinium coelestinum","Conoclinium coelestinum"
"489","Cyperus esculentus","Cyperus esculentus"
"490","Solidago altissima","Solidago altissima"
"491","Carex stipata","Carex stipata"
"492","Physalis heterophylla","Physalis heterophylla"
"493","Achillea millefolium","Achillea millefolium"
"494","Rorippa palustris","Rorippa palustris"
"495","Bromus pubescens","Bromus pubescens"
"496","Lysimachia nummularia","Lysimachia nummularia"
"497","Carex granularis","Carex granularis"
"498","Rumex obtusifolius","Rumex obtusifolius"
"499","Carex platyphylla","Carex platyphylla"
"500","Sedum ternatum","Sedum ternatum"
"501","Asarum canadense","Asarum canadense"
"502","Trillium sessile","Trillium sessile"
"503","Erigeron philadelphicus","Erigeron philadelphicus"
"504","Impatiens capensis","Impatiens capensis"
"505","Campsis radicans","Campsis radicans"
"506","Heliopsis helianthoides","Heliopsis helianthoides"
"507","Acer saccharinum","Acer saccharinum"
"508","Sambucus nigra","Sambucus nigra"
"509","Liquidambar styraciflua","Liquidambar styraciflua"
"510","Acer platanoides","Acer platanoides"
"511","Carex mesochorea","Carex mesochorea"
"512","Vicia villosa","Vicia villosa"
"513","Polygonum persicaria","Polygonum persicaria"
"514","Cichorium intybus","Cichorium intybus"
"515","Cerastium fontanum","Cerastium fontanum"
"516","Solanum carolinense","Solanum carolinense"
"517","Zea mays","Zea mays"
"518","Setaria italica","Setaria italica"
"519","Convolvulus arvensis","Convolvulus arvensis"
"520","Abutilon theophrasti","Abutilon theophrasti"
"521","Linaria vulgaris","Linaria vulgaris"
"522","Chenopodium album","Chenopodium album"
"523","Amphicarpaea bracteata","Amphicarpaea bracteata"
"524","Gleditsia triacanthos","Gleditsia triacanthos"
"525","Tetradium daniellii","Tetradium daniellii"
"526","Bromus sterilis","Bromus sterilis"
"527","Nepeta cataria","Nepeta cataria"
"528","Liparis liliifolia","Liparis liliifolia"
"529","Rubus parvifolius","Rubus parvifolius"
"530","Acer negundo","Acer negundo"
"531","Torilis arvensis","Torilis arvensis"
"532","Avena sativa","Avena sativa"
"533","Setaria viridis","Setaria viridis"
"534","Glycine max","Glycine max"
"535","Malva neglecta","Malva neglecta"
"536","Solanum nigrum","Solanum nigrum"
"537","Cornus unalaschkensis","Cornus unalaschkensis"
"538","Vaccinium uliginosum","Vaccinium uliginosum"
"539","Vaccinium vitis-idaea","Vaccinium vitis-idaea"
"540","Betula neoalaskana","Betula neoalaskana"
"541","Calamagrostis lapponica","Calamagrostis lapponica"
"542","Picea mariana","Picea mariana"
"543","Calamagrostis canadensis","Calamagrostis canadensis"
"544","Rosa acicularis","Rosa acicularis"
"545","Polygonum alpinum","Polygonum alpinum"
"546","Salix bebbiana","Salix bebbiana"
"547","Carex lapponica","Carex lapponica"
"548","Picea glauca","Picea glauca"
"549","Lycopodium complanatum","Lycopodium complanatum"
"550","Geocaulon lividum","Geocaulon lividum"
"551","Lycopodium annotinum","Lycopodium annotinum"
"552","Ledum groenlandicum","Ledum groenlandicum"
"553","Lycopodium clavatum","Lycopodium clavatum"
"554","Alnus viridis","Alnus viridis"
"555","Cornus suecica","Cornus suecica"
"556","Andromeda polifolia","Andromeda polifolia"
"557","Betula glandulosa/nana","Betula glandulosa/nana"
"558","Carex bigelowii","Carex bigelowii"
"559","Ledum palustre","Ledum palustre"
"560","Rubus chamaemorus","Rubus chamaemorus"
"561","Vaccinium oxycoccos","Vaccinium oxycoccos"
"562","Betula glandulosa","Betula glandulosa"
"563","Pinguicula villosa","Pinguicula villosa"
"564","Pedicularis labradorica","Pedicularis labradorica"
"565","Empetrum nigrum","Empetrum nigrum"
"566","Spiraea stevenii","Spiraea stevenii"
"567","Arctagrostis latifolia","Arctagrostis latifolia"
"568","Drosera rotundifolia","Drosera rotundifolia"
"569","Anthoxanthum monticola","Anthoxanthum monticola"
"570","Carex stylosa","Carex stylosa"
"571","Salix scouleriana","Salix scouleriana"
"572","Betula occidentalis","Betula occidentalis"
