"Gymnopogon ambiguus,"
"Indigofera miniata,"
"Lechea mucronata,"
"Quercus marilandica,"
"Bassia scoparia,"
"Bouteloua curtipendula,"
"Croton glandulosus,"
"Dalea purpurea,"
"Dichanthelium acuminatum,"
"Diodia teres,"
"Neptunia lutea,"
"Panicum hallii,"
"Scleria ciliata,"
"Schizachyrium scoparium,"
"Sorghastrum nutans,"
"Symphyotrichum patens,"
"Andropogon ternarius,"
"Bouteloua hirsuta,"
"Dichanthelium linearifolium,"
"Fimbristylis puberula,"
"Linum sulcatum,"
"Symphyotrichum ericoides,"
"Asclepias viridiflora,"
"Dichanthelium oligosanthes,"
"Erigeron strigosus,"
"Liatris mucronata,"
"Hypericum drummondii,"
"Linum medium,"
"Liatris punctata,"
"Pyrrhopappus grandiflorus,"
"Bothriochloa ischaemum,"
"Asclepias viridis,"
"Panicum virgatum,"
"Polygala incarnata,"
"Coelorachis cylindrica,"
"Galactia volubilis,"
"Helianthemum georgianum,"
"Andropogon gerardii,"
"Calylophus berlandieri,"
"Juncus interior,"
"Ambrosia psilostachya,"
"Verbena halei,"
"Artemisia ludoviciana,"
"Antennaria parlinii,"
"Rudbeckia hirta,"
"Callirhoe involucrata,"
"Polygala verticillata,"
"Acalypha monococca,"
"Vulpia octoflora,"
"Celtis laevigata,"
"Geranium carolinianum,"
"Nuttallanthus texanus,"
"Houstonia pusilla,"
"Spermolepis echinata,"
"Viola bicolor,"
"Digitaria californica,"
"Juncus marginatus,"
"Allium canadense,"
"Oenothera laciniata,"
"Asclepias amplexicaulis,"
"Gypsoplaca macrophylla,"
"Cirsium undulatum,"
"Dalea aurea,"
"Cocculus carolinus,"
"Solanum dimidiatum,"
"Xanthisma texanum,"
"Bothriochloa laguroides,"
"Penstemon laxiflorus,"
"Chrysopsis pilosa,"
"Physalis cinerascens,"
"Stenaria nigricans,"
"Oldenlandia boscii,"
"Physalis longifolia,"
"Prunus mexicana,"
"Sideroxylon lanuginosum,"
"Euphorbia dentata,"
"Commelina erecta,"
"Cyperus echinatus,"
"Elymus canadensis,"
"Bouteloua gracilis,"
"Desmodium sessilifolium,"
"Stylosanthes biflora,"
"Pediomelum rhombifolium,"
"Setaria parviflora,"
"Sporobolus compositus,"
"Verbesina helianthoides,"
"Astranthium integrifolium,"
"Bromus tectorum,"
"Callicarpa americana,"
"Spermolepis inermis,"
"Astranthium integrifolium,"
"Gamochaeta pensylvanica,"
"Galium pilosum,"
"Rudbeckia hirta,"
"Ulmus crassifolia,"
"Verbesina virginica,"
"Smilax bona-nox,"
"Tradescantia ohiensis,"
"Cyperus retroflexus,"
"Yucca arkansana,"
"Cornus drummondii,"
"Frangula caroliniana,"
"Crataegus crus-galli,"
"Vernonia baldwinii,"
"Centaurea americana,"
"Viburnum rufidulum,"
"Passiflora lutea,"
"Rubus oklahomus,"
"Rosa setigera,"
"Cercis canadensis,"
"Rosa arkansana,"
"Carya illinoinensis,"
"Cnidoscolus texanus,"
"Oxalis violacea,"
"Rhynchosia latifolia,"
"Hypericum hypericoides,"
"Cirsium texanum,"
"Elephantopus tomentosus,"
"Clitoria mariana,"
"Monarda fistulosa,"
"Tragia betonicifolia,"
"Juncus inflexus,"
"Monarda citriodora,"
"Tragia ramosa,"
"Rhus glabra,"
"Acalypha gracilens,"
"Bidens frondosa,"
"Lactuca ludoviciana,"
"Cissus trifoliata,"
"Eupatorium serotinum,"
"Monarda punctata,"
"Sporobolus cryptandrus,"
"Hordeum pusillum,"
"Desmanthus illinoensis,"
"Rhus copallinum,"
"Poncirus trifoliata,"
"Prunus munsoniana,"
"Dichaetophora campestris,"
"Helenium amarum,"
"Digitaria cognata,"
"Eragrostis intermedia,"
"Heterotheca subaxillaris,"
"Juncus nodatus,"
"Prunus angustifolia,"
"Oligoneuron nitidum,"
"Bothriochloa ischaemum,"
"Brickellia eupatorioides,"
"Agrostis elliottiana,"
"Pyrrhopappus carolinianus,"
"Centaurium texense,"
"Bothriochloa bladhii,"
"Fimbristylis annua,"
"Pediomelum linearifolium,"
"Phemeranthus parviflorus,"
"Chloris verticillata,"
"Gaillardia suavis,"
"Linum medium,"
"Mimosa nuttallii,"
"Penstemon cobaea,"
"Plantago aristata,"
"Solidago missouriensis,"
"Paronychia virginica,"
"Plantago patagonica,"
"Dalea enneandra,"
"Bothriochloa barbinodis,"
"Cyperus reflexus,"
"Koeleria macrantha,"
"Euphorbia bicolor,"
"Galium virgatum,"
"Tetraneuris linearifolia,"
"Trisetum interruptum,"
"Berlandiera betonicifolia,"
"Daucus pusillus,"
"Schedonnardus paniculatus,"
"Acacia angustissima,"
"Nassella leucotricha,"
"Arenaria serpyllifolia,"
"Castilleja indivisa,"
"Evax prolifera,"
"Lotus unifoliolatus,"
"Phyla nodiflora,"
"Croton capitatus,"
"Evolvulus nuttallianus,"
"Eragrostis pilosa,"
"Bothriochloa ischaemum,"
"Carex austrina,"
"Trifolium vesiculosum,"
"Bouteloua rigidiseta,"
